movie_id,keyword_id
1079311,240303
800817,4344
800817,4573
55,5600
55,7879
55,960
55,1547
55,10594
55,10404
55,15162
55,157171
55,171366
55,209987
55,325785
18491,490
18491,6255
18491,4458
18491,9685
18491,10150
18491,10046
18491,15216
18491,190755
18491,194421
18491,210024
18491,212737
18491,235847
18491,239797
18491,251667
18491,269769
18491,269808
18491,275024
18491,281182
18491,281585
18491,292792
18491,321464
18491,325801
18491,325849
18491,325853
1427540,9673
1427540,18035
1427540,163037
1427540,173662
1427540,262325
1427540,359901
1007734,782
1007734,10123
1007734,9663
1007734,9748
1007734,13116
1007734,14724
1007734,193897
1007734,325777
1007734,325797
1007734,325829
1007734,349450
128,6054
128,2763
128,1994
128,1721
128,5276
128,5277
128,3341
128,5650
128,11181
128,11004
128,12995
128,13153
128,15001
128,18330
128,156388
128,161919
128,180549
128,210024
128,243267
128,293198
128,322942
1319053,4434
1319053,6165
1319053,10229
1319053,154866
1319053,164120
1319053,221078
1319053,225778
1319053,234765
1319053,234957
1319053,246377
1319053,258828
1319053,302127
1319053,304615
1319053,318730
1319053,335233
1267905,1157
1267905,818
1267905,10123
1267905,9714
1267905,315053
1267905,321464
1157322,9672
1157322,13028
1157322,207928
1157322,281363
1157322,285398
1485022,1284
1485022,496
1485022,1900
1485022,1192
1485022,2913
1485022,9673
1485022,162710
1485022,169866
1485022,250819
1485022,358880
1485022,360439
1507563,195729
1507563,319259
1569016,514
1569016,10683
1569016,12544
1569016,253396
1493253,387
1493253,18034
1493253,292800
1493253,360290
1280282,6054
1280282,2343
1280282,977
1280282,5938
1280282,4344
1280282,10683
1280282,9825
1280282,11687
1280282,10045
1280282,179431
1280282,209220
1280282,237771
1280282,269769
1280282,273297
1280282,275041
1280282,359402
61791,582
61791,1577
61791,690
61791,2051
61791,4565
61791,2172
61791,5903
61791,10201
61791,4392
61791,11477
61791,12393
61791,14673
61791,14759
61791,14762
61791,157972
61791,158025
61791,177280
61791,179431
61791,188953
61791,188957
61791,211000
61791,238194
61791,240119
61791,258197
61791,275266
61791,280044
61791,311444
61791,322812
61791,325765
61791,325812
1296742,6270
1296742,1691
1296742,4344
1296742,5609
1296742,9673
1296742,10873
1296742,12990
1296742,33494
1296742,33922
1296742,285902
1296742,296608
1296742,350371
1218925,455
1218925,802
1218925,1448
1218925,6059
1218925,1541
1218925,1721
1218925,1284
1218925,6152
1218925,2887
1218925,3271
1218925,9663
1218925,9957
1218925,12394
1218925,13141
1218925,14588
1218925,15001
1218925,161919
1218925,186956
1218925,207826
1218925,210024
1218925,247192
1218925,251667
1218925,324429
1218925,336530
1218925,351903
1218925,352192
1218925,360921
1218925,360922
1558917,12339
1558917,315058
1558917,358243
1042834,439
1042834,2041
1042834,1533
1042834,10349
1042834,202371
1042834,325771
1542550,192790
1542550,318380
766369,703
1141182,9744
1141182,12377
1141182,186565
1526215,4747
1526215,187056
1526215,301386
20943,3262
20943,4411
20943,9799
20943,9840
20943,10582
20943,13384
20943,14534
20943,155740
20943,160404
20943,161166
20943,165301
20943,172112
1069537,267986
1069537,287664
1212934,10683
1212934,10275
1212934,18068
1212934,208289
1212934,209223
1417742,5565
1417742,265165
1417742,360738
344593,616
544,3262
544,9799
544,6844
544,11223
544,15027
544,155457
544,158502
544,158505
544,194413
1565247,1228
1565247,2936
1565247,4434
1565247,41388
1565247,154866
1565247,208289
1565247,208992
1565247,210608
1565247,234957
1565247,252104
1565247,257783
1565247,268830
1565247,302127
1565247,318336
1565247,325955
1565247,329574
1565247,345747
1565247,359574
1565247,360585
1315405,163398
1315405,227918
1315405,239713
1315405,244663
1297028,2173
1297028,33347
1297028,33711
1297028,190821
1297028,190941
1297028,254630
1565350,1862
1565350,1013
1565350,3715
1565350,208799
1565350,264386
1565350,282080
1565350,282418
1565350,345470
1565350,348401
1565350,353962
1565350,355470
1565350,356457
1565350,357627
1565350,357687
1565350,359901
1565350,360595
1565350,360596
1565350,360597
1565350,360598
1565350,360599
1565350,360600
1528509,6139
1528509,10683
1528509,18035
1528509,157955
1567425,156205
1567425,312034
1567425,355914
1436366,2383
1436366,6337
1436366,172972
1436366,197758
1436366,245415
1436366,346871
1436366,347179
1379045,233
1379045,3521
